Height,Width,Weight,Cost,Transport
23,12,450,24.48,Roadways
13,7,51068,71.73,
29,10,1996,20.82,
9,5,63,11.28,Roadways
10,5,541,23.04,Roadways
41,9,19928,82.14,Waterways
23,8,152855,88.79,Roadways
26,6,1606,16.18,Airways
7,5,2125,19.81,Roadways
41,12,7830,88.99,Roadways
28,17,896,17.24,
7,,2168,17.06,
18,9,322,15.7,Roadways
4,3,26,18.99,Airways
19,8,,11.82,Airways
24,6,59036,70.13,Airways
25,14,1695010,75.19,Airways
11,8,815,21.32,Waterways
9,5,653,22.6,Airways
20,11,2797,14.31,Airways
22,18,18959,92.24,Airways
12,8,1448,15.31,Waterways
4,4,78,13.77,Roadways
35,11,491,15.16,
13,7,3130,16.02,Roadways
42,18,14120,72.17,Roadways
44,15,11196,57.31,Waterways
34,11,1793759,25.62,Airways
18,9,837,10.98,Waterways
34,8,463,13.34,
5,3,701,24.16,Airways
28,7,,13.03,Roadways
26,8,314113,60.7,Airways
19,11,8648,74.41,Airways
27,10,23049,77.67,
29,9,,21.95,
11,7,1318,13.13,Roadways
4,4,43,15.75,Roadways
35,18,59797,87.86,Roadways
7,5,,28.46,
35,8,278714,92.17,
7,5,2666,14.13,
8,,5153,97.79,Waterways
28,8,,24.06,
14,7,5648,79.85,Waterways
32,20,91529,99.59,Waterways
31,12,4475,24.77,Roadways
30,8,10547,33.93,
16,7,3330,20.81,Waterways
15,6,44125,88.26,
3,3,,13.82,Roadways
19,7,929,10.47,Roadways
3,2,85,14.19,Airways
23,7,1404,17.91,Roadways
23,10,444173,65.95,
31,12,338703,25.76,Roadways
14,6,335,21.65,Roadways
36,15,110410,33.45,Waterways
4,3,32,22.2,Roadways
,6,182,16.92,
14,6,393,22.54,Airways
30,20,870,16.11,Airways
15,8,163,13.89,Roadways
24,,301767,52.35,Waterways
12,8,285,21.02,Roadways
16,6,127,20.07,Airways
16,7,267,11.17,Waterways
10,4,57,24.71,Waterways
41,18,28778,87.21,Roadways
37,8,13611,69.33,Waterways
25,7,220,20.51,
14,,150,13.76,Waterways
22,8,241688,78.79,
16,6,,16.64,Airways
13,6,1328,11.62,Roadways
6,5,5741,81.56,Waterways
20,6,157,10.66,Airways
45,,832,10.78,Airways
13,6,879,14.91,Roadways
16,,59337,54.25,
,20,2583679,74.42,Roadways
7,4,442,12,Waterways
33,16,98883,60.9,Airways
27,7,210,11.65,Roadways
21,12,,61.53,Roadways
3,2,17,21.44,Airways
10,4,254,16.25,Waterways
29,20,1432756,59.41,
46,10,55040,73.21,
39,6,14966,93.12,Waterways
8,4,92,10.71,Airways
24,12,,23.23,
5,5,349,13.32,Airways
36,10,3003,11.85,Roadways
33,11,1235,15.94,
27,7,204525,78.71,
4,3,14,17.56,Airways
11,7,,17.66,Waterways
43,13,43735,86.23,Airways
7,5,403,16.9,Roadways
20,10,242733,53.8,Roadways
9,,,18.18,Airways
6,4,2091,11.95,Roadways
10,4,65,18.17,
58,27,24675,29.79,Roadways
44,,7940489,69.04,Waterways
18,12,753,19.31,Airways
30,,25238,48.93,Roadways
23,6,128,23.83,
7,4,105,21.18,Roadways
50,11,97829,36.74,
42,18,10374,45.38,Roadways
20,10,717,19.12,Roadways
19,6,2240,17.03,Waterways
15,8,4722,14.58,Airways
9,4,,14.97,
3,2,36,11.99,
10,4,5240,28.4,Waterways
10,4,71,23.35,
4,,,12.05,Roadways
42,9,2202536,96.97,Waterways
12,7,337,20.26,Roadways
40,,4835604,40.12,Waterways
,9,301,18.48,
22,13,715,22.82,Airways
,,219,11.15,
20,9,331,15.33,
20,8,54822,38.87,Roadways
6,4,79,18.51,Airways
46,19,3192344,70.93,Roadways
42,24,6497,72.47,Roadways
15,7,329,15.44,Roadways
,11,,12.12,
23,17,252208,47.69,Airways
36,11,2000665,51.78,
24,12,403462,89.85,Roadways
11,8,2065,14.94,Airways
28,11,896,15.43,Roadways
38,21,12953,53.85,Airways
9,5,,12.91,
13,7,39956,59.6,Waterways
7,5,120,13.07,Airways
4,3,226,20.8,Roadways
23,10,151,18.06,
51,,23972911,92.93,
17,7,,22.4,
9,,,23.94,
31,16,1641621,93.14,
20,7,26330,40.64,Roadways
7,5,710,12.04,Airways
13,,99,16.12,
18,15,,19.89,Airways
,16,913,20.91,Airways
,17,2427691,48.1,Roadways
17,6,643,22.08,
11,6,619,23.25,
28,10,591,14.65,Airways
14,8,163,17.36,Roadways
31,9,898942,96.09,Roadways
7,,4113,16.5,
47,16,3829,14.61,Airways
16,8,258,17.92,Roadways
28,9,20185,37.38,Airways
28,16,,24.92,Airways
9,5,441,13.91,Roadways
29,19,51019,94.99,Waterways
38,22,22025,54.95,Airways
36,23,1314125,90.75,Roadways
7,4,113,24.77,
3,2,,13.53,Airways
6,5,4928,16.61,Airways
13,6,2933,13.8,Roadways
9,4,70,18.8,Airways
23,6,7533,66.31,Airways
32,12,11192,82.5,
25,8,7384,95.46,Airways
32,19,30968,91.52,
23,11,736707,93.4,Airways
20,16,460784,69.27,
62,17,145936,93.05,
8,4,2548,10.77,Roadways
15,6,30515,72.63,Airways
33,16,1880789,91.41,
19,7,109618,46.89,Roadways
5,,35,15.87,Roadways
39,,717,16.69,Waterways
6,4,3513,12.73,
18,7,123,22.25,Airways
11,7,277,15.97,
38,20,11196264,75.61,Roadways
36,19,5073,56.81,
17,12,15355,60.76,
33,,5995,80.87,Roadways
24,,9384,82.37,
15,6,137,10.81,Waterways
37,20,,55.3,
14,7,94548,42.33,Roadways
,,398,21.85,
5,4,1316,12.44,
30,12,17246,51.54,Waterways
3,3,12,21.38,Roadways
26,9,648821,93.18,Waterways
39,26,16388,62.86,
8,4,109,21.2,Roadways
11,,,17.95,
34,7,243265,75.61,Airways
23,,18687,46.94,Roadways
36,18,5284901,40.97,Roadways
48,28,2975,12.2,Roadways
28,13,2223,18.1,Roadways
35,11,31917,25.87,Waterways
17,10,185865,57.85,Waterways
61,,,72.08,Airways
28,13,1690,20.6,
7,4,46,11.17,Airways
21,11,814,14.92,Airways
30,10,646331,37.27,Waterways
4,3,40,11.55,Roadways
5,3,144,11.47,Roadways
9,5,311,13.16,Waterways
,9,518773,60.79,Roadways
37,,,33.73,Airways
17,6,,19.49,Waterways
18,6,5423,29.65,Airways
15,7,29259,35.08,Roadways
28,11,437435,56.54,Waterways
42,15,4408968,55.29,
33,,6297,27.38,Airways
23,8,819,23.82,Roadways
9,5,6949,80.43,Airways
4,3,41,13.28,Waterways
40,25,2288,11.46,Airways
3,2,5,23.19,
36,10,6152,46.51,Airways
48,10,1269039,79.1,Waterways
16,8,7471,75.3,Airways
10,5,58,24.06,
5,4,63,10.34,Roadways
32,13,731099,90.63,Waterways
20,8,696,19.18,Airways
41,15,,98.62,Airways
34,11,1828191,93.73,Airways
13,7,467,13.62,Waterways
17,7,3565,20.35,
25,9,8020,98.51,Airways
7,4,243,16.18,Waterways
42,33,150750,28.58,Roadways
33,8,558197,34.93,Roadways
13,7,198,17.76,Roadways
9,4,4983,23.88,Roadways
30,8,246282,26.66,Airways
10,4,,29.65,Roadways
16,,3563,14.78,
28,19,62334,77.12,Roadways
32,12,1764910,56.5,
5,4,1298,16.58,Roadways
22,13,2277,20.36,Waterways
14,6,2851,20.96,
15,,161,22.57,
18,10,144581,60.74,
30,7,,20.88,
15,8,151666,77.7,Airways
9,5,834,16.57,Roadways
22,16,484,20.63,Waterways
12,6,858,12.26,Waterways
,20,12496971,57.72,Waterways
36,17,2932282,96.82,Roadways
23,8,,98.92,
16,6,61911,80.23,Roadways
30,16,1057097,38.64,Airways
12,8,,17.98,Airways
22,8,1562,10.42,Waterways
3,2,14,10.44,Waterways
19,8,203075,86.05,Airways
,11,,49.58,
18,11,1856,24.03,
23,8,,15.45,Roadways
8,4,195,14.45,Waterways
7,4,4239,18.7,Airways
23,7,5630,34.62,Airways
30,11,12261,68.29,Airways
15,6,1564,22.97,Airways
12,7,433,17.66,Airways
,10,25336,93.01,
26,12,17758,83.89,Waterways
15,7,180,24.08,Waterways
17,6,,13.5,Roadways
20,11,335,19.87,Waterways
44,23,,79.57,Airways
13,7,3167,20.4,
23,7,241,15.46,
15,8,653,19.16,Roadways
35,16,53094,83.63,
15,6,1049,14.65,Waterways
21,9,382,22.96,Roadways
11,6,317,15.61,
18,10,9019,95.98,Waterways
22,8,13013,81.55,Roadways
14,6,29497,25.84,
24,13,18538,46.09,Airways
31,10,1172970,33.66,Roadways
18,14,1996,17.95,Airways
6,5,142,19.95,Waterways
10,4,,23.31,Waterways
8,5,731,21.93,Waterways
44,17,4583363,49.97,Roadways
15,6,4605,23.94,Roadways
4,4,56,19.52,Roadways
10,5,1079,24.78,Airways
24,12,1194,24.08,Waterways
42,18,101014,70.97,Roadways
,20,3941101,25.01,
29,13,3055,22.77,
24,11,1270,11.67,Airways
15,6,1585,13.8,
4,3,86,14.52,Waterways
26,,2088,20.7,Roadways
15,7,438,14.46,
47,6,286454,84.54,Airways
5,4,117,22.67,
12,7,146,21.85,
20,,41000,39.23,
44,9,,21.5,
19,10,14551,95.69,Waterways
7,4,2106,12.19,Waterways
10,5,,51.03,
38,17,37228,58.48,Airways
28,13,764933,38.01,Roadways
15,8,923,13.12,Roadways
27,13,,17.49,
9,4,137,15.73,Roadways
33,23,1467936,45.19,
8,4,630,11.21,Waterways
28,12,432381,97.67,Roadways
16,8,6441,42.22,
45,13,526,24.8,Waterways
13,7,,24.08,
19,7,,59.3,
21,8,733,15.37,Roadways
5,5,1260,14.5,
29,9,18323,65.75,Roadways
11,8,25776,50.17,
51,26,8108,64.26,
10,4,266,14.95,Waterways
20,7,488,10.96,Roadways
26,11,719752,92,Roadways
33,15,2546,21.24,Airways
36,15,22082,77.37,Roadways
11,6,446,22.89,
34,6,105883,29,Waterways
,5,4022,12.45,Airways
14,7,700,15.52,Waterways
24,12,12897,29.29,Roadways
3,3,134,17.43,Roadways
27,9,1443,21.71,Waterways
19,7,9069,87.61,Roadways
,5,1362,11.19,
30,10,4802,16.04,
30,9,12378,59.51,
17,6,671,11.5,Roadways
15,8,2715,16.57,Airways
25,,,83.93,
7,5,8694,52.09,Roadways
38,19,3772884,79.11,Roadways
19,10,,22.96,
43,,,71.37,Airways
26,15,1975988,34.24,Waterways
14,8,1234,23.63,Airways
39,,3684,23.32,Roadways
5,4,26,13.47,Roadways
7,4,34,15.53,Roadways
14,8,3432,23.56,Waterways
27,8,8880,56.29,Roadways
42,23,17895571,29.68,
19,7,514,12.37,Airways
45,15,1393,21.2,Roadways
,6,147030,73.37,Airways
33,16,3392859,52,Waterways
25,16,3136649,82.19,Roadways
22,7,1085,21.37,Airways
9,5,751,23.43,
13,6,7270,79.65,Waterways
29,8,209,17.47,Waterways
11,6,161,18.45,Airways
32,7,16948,59.21,Roadways
8,5,9517,48.22,
5,5,2382,18.18,Roadways
28,9,129123,75.52,Roadways
9,4,,38.85,
32,17,838,12.55,Waterways
19,,1929,22.23,
33,,1651,22.32,Airways
11,6,387,22.26,Waterways
52,13,99331,86.5,Roadways
21,9,4288,20.55,Airways
36,23,981,21.91,Roadways
21,12,27227,71.68,Waterways
17,6,1023,20.91,Waterways
37,19,17431,77.43,
8,4,,23.79,Roadways
9,4,4222,13,Roadways
10,4,43,17.59,
9,5,327,16.96,Waterways
22,10,464792,84.21,Airways
31,16,63990,44.1,Waterways
16,6,101,17.64,Airways
10,5,1163,23.68,
4,3,,17.42,
12,8,2264,16.51,Waterways
36,9,691453,93.62,Waterways
,13,2935,16.43,
34,21,13800,63.16,Roadways
19,14,206436,30.88,Roadways
18,10,185994,56.7,
24,9,992,11.98,Waterways
32,16,,38.07,
,7,889,10.68,Roadways
13,6,2304,20.22,Roadways
24,8,1373,11.5,Roadways
14,6,59415,68.97,Airways
30,15,1195439,27.57,Waterways
30,23,43271,26.55,Airways
12,6,15091,43.43,
14,8,18983,27.81,
15,6,,24.32,
33,12,2138,13.14,Roadways
26,12,14026,93.29,Waterways
40,9,24806,44.9,Roadways
12,6,38916,33.78,
15,8,5556,44.02,Airways
17,,293,23.25,
29,19,51086,37.23,Waterways
15,7,2051,20.05,Airways
,7,30662,42.87,Roadways
18,,462939,44.88,Airways
45,24,86188,91.54,Airways
8,4,59,14.53,Roadways
34,21,9266,86.36,Waterways
17,7,6252,51.8,Roadways
42,17,66743,94.97,Airways
41,18,7131016,78.65,Airways
9,4,84,22.53,Airways
13,7,2353,16.54,
31,16,396,20.05,
20,16,589,13.5,Airways
9,5,857,10.94,
8,5,12183,77.68,Airways
3,3,,11.15,
14,8,823,12.52,Waterways
21,7,133898,81.24,Airways
34,,819951,40.25,Roadways
23,,8084,69.67,
12,7,2678,23.56,Roadways
,4,187,20.31,Waterways
15,7,71,11.49,Airways
35,15,773,14.3,Airways
27,16,357,10.86,Roadways
11,6,,24.54,
18,6,124,11.79,Airways
20,12,1060,14.67,
5,3,49,19.4,Roadways
27,7,2195,16.15,
26,18,1828523,98.75,Airways
40,16,763,13.15,Waterways
31,13,5501,83.61,
4,3,31,12.89,Roadways
6,5,18,21.12,Waterways
6,5,489,21.43,Airways
19,7,829,23.3,Airways
23,8,67915,57.84,Airways
,,,17.53,Waterways
14,8,1246,11,Roadways
,,5571,39.25,Airways
14,8,126,19.2,Airways
31,11,1429155,61.68,Roadways
17,8,309,20.91,Airways
,8,27670,54.57,Roadways
25,18,1232559,33.26,Airways
36,7,27021,68.35,Roadways
3,2,13,22.39,Roadways
20,7,1357,18.83,Airways
20,11,,60.18,Airways
5,3,566,14.99,Waterways
5,4,41,16.84,Airways
35,11,1828,18.95,
,8,2496,15.86,Airways
27,8,687,15.8,Airways
14,7,74140,26.38,Roadways
6,5,386,22.06,Roadways
50,14,5878,29.36,Airways
28,16,1626745,82.99,Roadways
22,8,719,23.29,Airways
28,13,521,10.88,Waterways
15,,,12.88,Airways
12,6,20660,97.38,Roadways
29,10,1425,20.9,Airways
,27,191920,73.44,Roadways
29,9,846,11.62,Roadways
30,15,57407,69.76,Waterways
5,3,379,24.2,Roadways
4,4,51,11.64,Roadways
20,,,23.86,
,3,923,17.95,Roadways
27,9,,25.14,
20,10,6761,36.62,Roadways
8,,3844,12.89,Airways
9,5,165,19.34,Roadways
25,6,686,16.68,Waterways
13,8,148,15.37,Airways
23,16,2998,16.76,Airways
10,4,3643,11.16,Airways
33,,,41.85,Airways
41,13,21597,77.72,Roadways
29,7,1004,17.5,Roadways
20,9,1746,12.83,
6,4,4219,11.89,Airways
13,6,1609,13.81,Roadways
38,9,18915,70.41,Airways
9,4,4757,18,Roadways
38,19,1129,23.82,Waterways
15,8,130583,36.32,Roadways
14,6,139,16.52,Roadways
25,7,11914,69.06,
24,8,8334,70.44,
11,8,295,14.42,Waterways
16,7,3995,11.85,
,7,2059,23.11,Airways
43,14,3800,19.71,
26,7,10936,98.71,Airways
15,,4343,10.7,Airways
15,7,136282,70.21,Airways
32,7,1128,22.01,Roadways
16,7,113926,42.87,
,8,,80.33,
10,5,588,18.72,Roadways
33,15,44037,74.7,Waterways
12,8,2148,17.86,Waterways
16,,,20.65,
16,6,28197,51.03,Airways
13,7,91,19.7,Airways
21,9,303130,75.99,Roadways
18,7,94228,94.37,Roadways
11,6,104,24.92,Waterways
13,8,6212,43.5,Airways
3,3,32,12.15,Roadways
44,12,747,20.97,Airways
13,6,,23.51,
14,6,849,13.54,Roadways
5,5,62,23.53,Roadways
5,5,315,15.91,Roadways
,9,1382,15.04,
25,18,917520,52.62,Roadways
14,7,3172,10.23,Airways
24,6,,12.57,Airways
,3,53,21.91,Airways
12,8,,23.39,Roadways
,5,186,12.27,Roadways
5,5,395,18.14,Roadways
4,3,62,20.71,Roadways
19,,36938,71.83,Roadways
22,6,8737,68.33,Airways
26,19,,68.84,Roadways
26,6,133987,55.05,Airways
8,4,1237,24.38,Roadways
27,7,254774,28.01,
19,6,170477,48.53,Airways
17,8,163,14.62,
25,9,1754,19.54,Waterways
37,28,5081960,79.22,Airways
11,6,,12,Roadways
49,27,416789,38.9,Roadways
,,50900,71.42,
13,6,2860,13.32,Airways
19,6,117141,61.58,Waterways
10,4,299,11.5,Airways
3,3,150,18.43,Roadways
15,7,3832,13.42,
26,,1291994,38.99,
9,4,158,17.11,Waterways
25,10,7795,73.55,Roadways
32,,1234,19.25,
18,7,,90.61,Waterways
7,5,361,14.96,Roadways
3,2,22,19.25,Airways
61,44,61924,44.45,Roadways
24,12,300983,34.9,
18,8,83184,67.71,Airways
15,6,200,11.58,Roadways
54,33,2261,12.89,Airways
20,6,2804,14.39,Roadways
23,12,287758,77.64,Roadways
,4,119,16.82,
21,8,202,19.52,Airways
16,6,2579,13.95,Roadways
15,7,81,13.4,Airways
20,6,4076,17.88,Airways
25,20,30323,31.58,Roadways
31,6,115486,83.81,
21,12,20096,33.96,
12,7,41853,36.33,Airways
19,,8727,51.35,Airways
5,5,1794,15.71,Airways
11,6,16037,82.55,
20,6,76862,72.66,Roadways
18,15,925577,52.65,Airways
,4,36,11.55,
12,7,369,24.82,Waterways
10,,110,11.54,
31,13,,21.17,Roadways
7,5,119,22.48,Roadways
17,6,3664,21.13,Waterways
31,20,5936850,55.94,Roadways
,12,898,14.32,Roadways
4,4,94,14.32,Roadways
28,14,246,14.95,Roadways
32,,744,11.3,Waterways
32,10,1194,18.1,Airways
22,8,180,21.22,Roadways
18,8,7101,38.54,Waterways
,11,169076,74.42,Waterways
24,11,285,21.16,Airways
20,8,,12.89,Roadways
11,7,1633,19.78,Roadways
28,12,9309,71.84,Roadways
52,26,1764,20.25,Airways
,11,22280,82.91,Waterways
6,4,476,13.59,Airways
41,17,3257,20.96,Airways
22,10,16734,40.19,
,5,42,17.21,Roadways
18,8,70423,54.61,Roadways
31,8,244498,49.61,
8,4,530,14.39,Airways
47,10,2175877,86.58,
38,,1760373,81.89,
23,8,9369,33.25,
10,,765,19.04,Airways
26,11,440,13.23,Roadways
29,8,1316,21.18,Roadways
21,8,8134,25.48,Roadways
15,,3401,23.24,
19,8,12241,43.57,Airways
32,21,9316,77.16,Waterways
20,7,111978,74.07,Airways
13,6,19451,42.68,Roadways
34,16,511,24.94,Airways
19,6,63088,67.63,Roadways
23,10,15641,54.93,Roadways
12,8,60867,54.79,Roadways
26,,1152,14.89,Roadways
25,14,40827,92.67,Airways
41,,38534,37.48,Roadways
28,8,264522,71.56,Waterways
14,7,37717,64.11,Roadways
30,10,17086,90.23,Roadways
39,12,463,16.74,Airways
15,8,802,13.75,Waterways
3,2,11,20.71,Roadways
,13,695,13.92,
34,20,55998,25.53,Roadways
17,6,47125,84.39,Airways
18,6,,15.93,Airways
15,8,340,24.31,Roadways
42,29,10477,96.92,
28,15,376,10.86,Roadways
24,11,16355,65.43,Airways
7,4,5065,28.59,Airways
26,15,920256,41.56,Roadways
19,6,,48.8,Waterways
34,21,2572044,85.81,Roadways
14,,,17.93,
30,9,369,22.81,
17,9,,34.06,Waterways
20,10,672,17.2,
8,5,2944,24.65,Airways
9,5,11009,27.62,Roadways
26,12,4091,22.84,Airways
23,,12552,37.27,Airways
33,10,916,20.73,Airways
14,7,54449,83.07,Waterways
25,8,173137,39.51,Waterways
17,10,5617,53.82,Airways
21,8,70606,96.46,
15,6,161,22.1,
14,7,920,18.35,
8,5,722,15.25,Roadways
25,15,1895,24.63,Airways
19,7,2320,12.34,Roadways
3,,,19.79,Airways
20,10,806,18.75,Waterways
24,12,422038,69.84,
34,,1837,14.63,
23,6,454,12.71,Roadways
18,9,240539,62.45,Airways
29,13,31962,87.35,Roadways
,7,402,17.5,
3,2,6,12.93,Waterways
35,,1633170,74.31,Waterways
18,7,99153,73.94,Waterways
5,4,,14.27,Roadways
15,8,169,23.48,Roadways
24,6,288,18.52,Roadways
32,,,41.91,Roadways
43,22,87609,39.07,
3,2,108,15.4,Waterways
,39,285131,96.55,Airways
13,6,2662,17.94,Roadways
28,18,1382831,60.02,Roadways
12,8,34523,41.84,
20,11,218,17.3,Airways
40,10,3314,18.69,Roadways
19,6,4979,19.51,Airways
16,8,55076,96.88,Airways
15,8,73324,75.34,Roadways
22,11,287,10.68,Airways
14,8,106206,88.05,
23,12,497,12.7,Airways
29,7,1104,20.25,Airways
8,4,229,20.19,
20,11,449,24.71,Waterways
32,12,,71.85,Waterways
42,13,52647,56.94,Roadways
17,8,207070,42.65,
4,3,118,12.69,Roadways
21,8,326667,42.36,
8,,42,11.39,Waterways
36,17,2144437,60.88,Roadways
28,10,477200,50.82,
19,8,7742,60.56,Waterways
15,7,390,20.53,Roadways
28,,1340400,90.83,Roadways
7,5,58,11.13,
35,19,7281,59.69,Waterways
20,10,412573,86.43,Waterways
27,9,252,13.75,Roadways
3,3,55,13.11,Waterways
33,16,46937,82.32,Waterways
35,,457402,62.7,Roadways
3,,5,24.77,Airways
35,11,571,10.68,Roadways
34,19,1628208,44.83,
27,,472,24.54,Roadways
53,11,80441,96.78,Roadways
,14,939763,63.14,Airways
9,5,112,16.55,
24,9,1531,21.95,Airways
15,7,39023,41.08,Waterways
41,19,3135,12.41,Roadways
4,4,29,10.97,Waterways
13,6,448,18.21,Roadways
21,7,5295,41.85,Roadways
58,6,14122,61.4,Roadways
21,10,4433,15.69,Airways
13,,111919,92.9,Roadways
,8,504,19.3,Waterways
22,9,310407,50.76,Roadways
,9,1098,17.29,
18,7,54151,73.82,
18,6,,20.77,
21,14,3814,14.9,Waterways
,8,251,12.5,Waterways
8,4,4134,16.65,Roadways
7,4,1233,23.86,Waterways
22,7,36776,95.93,
29,13,16310,62.64,Airways
13,8,2494,24.74,Roadways
4,,82,20.49,
21,6,1506,12.65,Airways
22,6,330,24.7,Roadways
9,5,8973,69.56,
28,9,1566,14.25,Roadways
12,6,2537,13.14,
9,5,196,24.39,
26,8,11363,80.46,
26,16,974277,85.69,Waterways
15,8,2999,10.77,Waterways
3,2,14,13.37,Roadways
12,8,368,11.71,Roadways
24,10,9873,25.13,Waterways
10,5,14709,61.46,Airways
18,9,7562,96.22,Waterways
9,5,,14.9,Airways
10,4,227,24.86,Airways
12,6,20216,87.22,
27,13,22143,34.11,Airways
24,10,399,17.91,Airways
23,,527220,57.42,
4,4,51,19.42,Airways
8,4,2835,18.69,Roadways
10,4,156,17.3,Roadways
22,8,,11.31,
15,8,30361,57.54,Roadways
21,8,240,18.89,Roadways
32,24,14616806,44.21,Waterways
8,5,187,21.14,Waterways
18,9,1062,13.68,Airways
27,10,558393,47.08,Roadways
32,13,,77.77,Roadways
19,7,227,10.96,Airways
33,22,1216,11.29,Waterways
8,5,10492,46.18,
16,7,76,22.12,
5,4,64,13.7,Airways
14,7,43716,35.59,Airways
31,10,20015,26.57,
16,8,1166,13.61,Waterways
21,10,6831,46.79,Roadways
23,11,701279,75.28,Airways
47,21,1323,19.84,Airways
22,8,225834,44.56,Airways
25,6,139475,30.76,Roadways
25,11,287118,34.57,Waterways
23,9,,69.84,
13,6,21595,64.12,Waterways
22,8,222,12.69,Airways
33,9,545,15.74,Roadways
37,14,958,13.54,Waterways
28,,685585,98.34,Roadways
,9,766,24.27,Airways
30,9,316870,83.11,Airways
18,,1106,23.74,
8,5,138,22,Roadways
9,,,23.78,Waterways
30,6,4349,14.5,Roadways
28,9,256473,69.57,Roadways
3,3,58,11.28,Roadways
16,6,22405,87.98,Airways
24,7,,16.78,Airways
14,6,3807,13.18,Waterways
,9,8180,41.96,Roadways
38,17,1071,24.83,Roadways
39,14,57456,63.6,Roadways
15,7,53131,56.82,Airways
38,11,28989,35.45,
12,6,2386,14.75,Waterways
16,6,3393,18.14,Roadways
38,10,26409,34.14,Waterways
16,8,140,12.87,Roadways
19,8,5293,77.93,Waterways
47,29,18929,66.76,Roadways
22,6,137372,58.47,Airways
11,7,2253,21.24,Roadways
13,8,5691,82.65,
14,7,,60.08,
43,20,13187,52.51,
23,,4487,16.1,Waterways
21,8,738,21.3,Airways
25,6,120908,35.75,Waterways
32,23,12247852,87.58,Waterways
9,5,8935,57.25,Roadways
7,5,39,23.7,Airways
19,,99566,43.35,Waterways
17,6,92177,82.72,Roadways
27,12,4552,15.89,
20,9,6842,83.13,Airways
25,13,255501,60.52,Airways
7,4,369,22.68,
6,,97,22.77,Waterways
35,22,58179,76.83,Airways
12,7,,24.2,Airways
12,8,1389,16.3,
17,12,11390,92.48,Roadways
18,7,167,10.2,Airways
30,15,,85.94,Roadways
7,4,458,15.63,Roadways
46,,56025,80.51,Roadways
27,6,326068,81.8,
,9,1576,23.57,Waterways
10,5,639,18.74,
26,11,2722,23.66,
4,4,274,17.61,Waterways
27,6,10425,59.79,Waterways
28,18,4450354,67.2,
26,6,755,12.16,Waterways
37,6,9934,55.51,Roadways
20,,6928,85.37,
44,34,74156,52.56,Waterways
14,6,33863,56.29,
32,20,546,14.35,Waterways
,8,1078,19.5,Roadways
,20,,53.53,Waterways
8,4,6102,53.54,Airways
24,,,21,Airways
40,14,1624464,39.35,
